Umur,Domisili,Province,Jenis Kelamin,Total Twitter Sekunder,Twitter1,Twitter2,Twitter3,Twitter4,Twitter5,Twitter6,Private Second Account,Roleplay Acc,Fake/Spam,Alter Acc,BodySatisfaction,FamCloseness,ParentsinMarriage,LivingApart,Loneliness,SExp1,SExp2,SExp3,SExp4,SExp5,SExp6,SExp,InfSeek1,InfSeek2,InfSeek3,InfSeek4,InfSeek,Soc1,Soc2,Soc3,Soc4,Soc,Div1,Div2,Div,UG_TOT,DA1,DA2,DA3,DA4,DA_OD,IN1,IN2,IN3,IN4,IN5,IN_OD,AS1,AS2,AS3,AS_OD,SI1,SI2,SI3,SI_OD,DI1,DI2,DI3,DI4,DI_OD,MA1,MA2,MA3,MA4,MA_OD,OD_TOT,SNS1,SNS2,SNS3,SNS4,SNS5,SNS6,SNS_TOT
0,Bandung,Jawa Barat,0,2,Private Second Account,Business Account,,,,,1,0,0,0,3,2,1,0,2,5,7,4,7,7,7,37,5,5,5,5,20,7,6,7,7,27,7,7,14,98,3,3,5,3,14,4,5,4,2,2,17,7,7,7,21,5,5,5,15,1,1,1,1,4,1,1,1,1,4,75,3,1,4,2,3,2,15
0,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,2,3,0,0,4,7,7,7,7,7,4,39,5,6,6,4,21,7,7,7,6,27,7,7,14,101,6,6,6,4,22,6,7,6,6,6,31,7,7,7,21,6,5,6,17,2,2,2,2,8,4,4,4,4,16,115,4,2,5,5,2,3,21
2,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,2,3,0,1,4,5,5,5,7,6,5,33,7,7,6,5,25,7,6,5,5,23,6,6,12,93,6,6,6,6,24,6,6,6,6,6,30,6,6,6,18,7,7,6,20,2,2,1,1,6,2,2,2,2,8,106,4,4,5,5,4,4,26
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,2,1,1,1,4,2,5,7,7,1,26,3,3,4,7,17,7,4,5,5,21,7,2,9,73,2,4,5,2,13,2,1,1,1,1,6,7,7,7,21,5,5,5,15,1,1,1,4,7,1,1,1,1,4,66,2,1,2,2,2,2,11
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,4,1,0,1,3,2,5,5,5,2,22,6,7,7,7,27,6,2,6,5,19,6,6,12,80,6,4,4,3,17,4,4,4,4,3,19,5,5,5,15,4,4,5,13,5,5,5,5,20,5,5,5,5,20,104,3,2,4,2,1,1,13
1,Bandung,Jawa Barat,0,1,Private Second Account,Private Second Account,,,,,2,0,0,0,3,4,1,1,4,2,2,5,7,6,4,26,7,7,7,5,26,7,6,5,5,23,6,7,13,88,6,4,6,5,21,5,5,4,3,4,21,6,6,6,18,4,5,4,13,2,3,3,6,14,4,5,4,2,15,102,3,2,4,2,2,3,16
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,2,3,1,1,2,4,1,5,6,3,1,20,6,6,6,4,22,6,1,3,2,12,5,4,9,63,5,5,5,5,20,5,4,4,5,4,22,6,5,6,17,3,6,6,15,3,4,3,3,13,4,5,5,2,16,103,4,3,3,3,4,5,22
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,3,0,1,3,3,3,3,7,7,1,24,7,7,7,3,24,7,5,4,4,20,7,6,13,81,7,6,6,6,25,6,6,5,7,6,30,7,7,7,21,6,6,5,17,5,7,4,7,23,5,5,5,5,20,136,3,4,4,4,4,4,23
1,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,2,1,0,3,2,2,4,7,5,4,24,7,7,7,5,26,7,5,5,5,22,7,7,14,86,5,5,6,6,22,6,5,6,7,5,29,5,2,2,9,7,7,5,19,5,7,3,5,20,6,2,7,5,20,119,4,3,5,4,2,3,21
0,Bandung,Jawa Barat,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,3,1,0,2,4,1,4,5,1,1,16,7,6,5,5,23,7,1,4,3,15,7,7,14,68,5,5,6,4,20,4,4,6,3,5,22,7,6,6,19,4,4,5,13,1,1,1,1,4,2,1,1,1,5,83,3,2,4,4,1,4,18
